,ward code,Obesity Prevalence
463,E05000489,0.15719005
464,E05000490,0.45531794
465,E05000491,0.25810292
466,E05000492,0.47059226
467,E05000493,0.55842716
468,E05000494,0.5672775
469,E05000495,0.66884226
470,E05000496,0.7564734
471,E05000497,0.20625216
472,E05000498,0.67482865
473,E05000499,0.34739923
474,E05000500,0.21690199
475,E05000501,0.6576594
476,E05000502,0.3930171
477,E05000503,0.4573767
478,E05000504,0.32543713
479,E05000505,0.37151074
480,E05000506,0.20521769
481,E05000507,0.23600528
482,E05000508,0.5264392
483,E05000509,0.7982633
484,E05000510,0.12561962
485,E05000511,0.50715333
486,E05000512,0.2829232
487,E05000513,0.0
488,E05000514,0.44750068
489,E05000515,0.29209155
490,E05000516,0.70097625
491,E05000517,0.20372361
492,E05000518,0.4538487
493,E05000519,0.50333476
494,E05000520,0.26451975
495,E05000521,0.5469445
496,E05000522,0.34922603
497,E05000523,0.4002712
498,E05000524,0.13674498
499,E05000525,0.28116244
500,E05000526,0.33771363
501,E05000527,0.7530924
502,E05000528,0.16604652
503,E05000529,0.54582936
504,E05000530,0.21022698
505,E05000531,0.34505916
506,E05000532,0.2726069
507,E05000533,0.0
508,E05000534,0.94050974
509,E05000535,0.69193727
510,E05000536,0.0
511,E05000537,0.28102756
512,E05000538,0.35207736
513,E05000539,0.34710777
514,E05000540,0.7664317
515,E05000541,0.0
516,E05000542,0.26239735
517,E05000543,0.0
518,E05000544,0.8118902
519,E05000545,0.0
520,E05000546,0.6214792
521,E05000547,0.20558468
522,E05000548,0.3302168
523,E05000549,0.0
524,E05000550,0.30813122
525,E05000551,0.8451024
526,E05000552,0.47679868
527,E05000553,0.47413486
528,E05000554,0.21959692
529,E05000555,0.28330195
530,E05000556,0.7612796
531,E05000557,0.10449475
532,E05000558,0.10804775
533,E05000559,0.43555966
534,E05000560,0.34349474
535,E05000561,0.5892789
536,E05000562,0.2659084
537,E05000563,0.24225625
538,E05000564,0.57592845
539,E05000565,0.0
540,E05000566,0.809646
541,E05000567,0.37653464
542,E05000568,0.39023256
543,E05000569,0.5437551
