region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
3505,0.0574,0.0469,0.0526,0.0456,0.3957,0.3172,0.25,0.3571,0.0721
3506,0.1975,0.1667,0.1897,0.1117,0.1243,0.105,0.1693,0.1629,0.1264
3507,0.0894,0.155,0.1429,0.0608,0.0851,0.1014,0.0805,0.0897,0.1076
3508,0.0421,0.0676,0.0818,0.0816,0.0293,0.0579,0.0498,0.0211,0.092
3509,0.0722,0.1127,0.0962,0.0637,0.1018,0.0601,0.0705,0.0556,0.0892
3510,0.1373,0.0774,0.1169,0.0662,0.1146,0.0962,0.0854,0.0765,0.0601
3511,0.005,0.0045,0.0041,0.0065,0.0087,0.0074,0.007,0.0042,0.0067
3512,0.1096,0.0833,0.1375,0.1867,0.0897,0.0897,0.0879,0.0808,0.0556
3513,0.1161,0.1038,0.1275,0.1386,0.1058,0.0877,0.1415,0.0926,0.1066
3514,0.2,0.2558,0.0889,0.186,0.1707,0.1842,0.119,0.025,0.125
3515,0.1489,0.1075,0.1042,0.11,0.1633,0.1284,0.0962,0.0727,0.0696
3516,0.2333,0.1944,0.1667,0.1795,0.2162,0.1081,0.2703,0.186,0.1
3518,0.0014,0.0005,0.0017,0.0014,0.0021,0.0012,0.0014,0.0014,0.0014
3701,0.0789,0.0662,0.0694,0.0756,0.0806,0.0741,0.0742,0.0665,0.067
3702,0.0562,0.0261,0.0386,0.0939,0.1599,0.1069,0.1641,0.1347,0.1076
3703,0.0637,0.0789,0.0694,0.0625,0.0873,0.097,0.0799,0.0833,0.0646
3704,0.2111,0.2871,0.1635,0.1619,0.0518,0.0522,0.0261,0.0365,0.0324
3705,0.1922,0.1769,0.2092,0.1717,0.5865,0.5045,0.6091,0.3475,0.1884
3706,0.1638,0.2155,0.2331,0.2482,0.1258,0.1373,0.1083,0.0882,0.1214
3707,0.225,0.2077,0.246,0.2403,0.25,0.1655,0.1739,0.1813,0.1235
3708,0.1946,0.1513,0.2468,0.109,0.0864,0.1341,0.1768,0.1166,0.1329
3709,0.1373,0.2667,0.0909,0.16,0.1887,0.1373,0.1887,0.16,0.2174
3710,0.1026,0.1488,0.1045,0.1429,0.1806,0.1069,0.1605,0.0854,0.0955
3711,0.0747,0.1044,0.0476,0.0535,0.085,0.0817,0.0995,0.0896,0.1154
3712,0.0511,0.0546,0.0524,0.0476,0.0711,0.0688,0.0847,0.0214,0.0619
3713,0.0322,0.0298,0.037,0.0187,0.0215,0.0398,0.058,0.0405,0.0353
3714,0.2069,0.4107,0.2909,0.254,0.2899,0.2466,0.2805,0.2,0.1868
3715,0.1009,0.0924,0.1866,0.1203,0.1136,0.1045,0.1189,0.0657,0.0278
3716,0.1278,0.1231,0.0976,0.1681,0.1545,0.1037,0.1343,0.1095,0.1364
3717,0.1735,0.156,0.2277,0.1515,0.1518,0.2035,0.161,0.0789,0.12
3718,0.3059,0.3034,0.2717,0.2717,0.3404,0.2526,0.2917,0.1863,0.2212
3719,0.1392,0.2022,0.2043,0.0851,0.25,0.1373,0.2143,0.1758,0.1443
3720,0.1429,0.1458,0.1509,0.0943,0.0862,0.0806,0.2097,0.1875,0.0984
3721,0.3191,0.3514,0.2,0.3191,0.3,0.1091,0.193,0.15,0.2031
3722,0.3333,0.26,0.3684,0.2105,0.3279,0.3077,0.3492,0.25,0.3973
3723,0.0642,0.0678,0.0697,0.0696,0.0791,0.0732,0.0791,0.0599,0.0586
3724,0.3871,0.4839,0.7857,0.3438,0.3438,0.2162,0.3636,0.2973,0.7059
3725,0.1143,0.375,0.25,0.1667,0.2222,0.1163,0.1296,0.2857,0.1207
3726,0.1714,0.3333,0.3067,0.2703,0.2308,0.1395,0.1368,0.1961,0.1827
3801,0.0448,0.0375,0.0448,0.0493,0.0553,0.0661,0.0739,0.0491,0.0342
3802,0.009,0.0106,0.0091,0.0117,0.0111,0.0083,0.0104,0.0114,0.0124
3803,0.1054,0.0816,0.0721,0.1242,0.0845,0.1006,0.1175,0.0769,0.1065
3804,0.1282,0.125,0.1331,0.1004,0.0863,0.1195,0.1318,0.1599,0.114
3805,0.042,0.0508,0.0531,0.0763,0.0513,0.041,0.036,0.0275,0.0467
3806,0.1494,0.1392,0.104,0.0944,0.1223,0.1576,0.1675,0.1759,0.1262
3807,0.2083,0.1154,0.2037,0.1091,0.1017,0.2143,0.2,0.1154,0.1273
3808,0.1897,0.1579,0.1429,0.0769,0.1724,0.1324,0.0597,0.1739,0.1622
3809,0.0139,0.0182,0.022,0.0181,0.012,0.024,0.0218,0.0331,0.0169
3810,0.2222,0.2062,0.1413,0.1778,0.18,0.1589,0.1593,0.157,0.1074
3811,0.039,0.0361,0.048,0.0542,0.0335,0.0341,0.0282,0.0284,0.0278
3812,0.0009,0.001,0.0011,0.0008,0.0013,0.0012,0.0013,0.0009,0.0007
3813,0.0011,0.001,0.0012,0.0008,0.0009,0.0011,0.0012,0.0011,0.0009
3901,0.1151,0.0809,0.0866,0.1555,0.1098,0.0905,0.0768,0.0917,0.1206
3902,0.1518,0.1504,0.229,0.1915,0.1419,0.14,0.2394,0.25,0.1379
3903,0.2963,0.241,0.1889,0.2341,0.1461,0.1354,0.0927,0.128,0.092
3904,0.1818,0.1407,0.1328,0.2016,0.1912,0.2463,0.2105,0.1655,0.1928
3905,2.2,1.2143,1.4286,0.7917,1.0455,0.5294,0.5676,0.5263,0.3023
3906,0.2727,0.2281,0.3333,0.2769,0.3582,0.1892,0.2329,0.3014,0.2911
3907,0.377,0.4328,0.4426,0.4844,0.3385,0.3433,0.2738,0.1882,0.3529
3908,0.2826,0.1333,0.48,0.3333,0.2453,0.25,0.2407,0.3696,0.34
3909,0.125,0.1532,0.0783,0.0813,0.1,0.0857,0.0857,0.0797,0.1469
3910,0.1404,0.2593,0.1228,0.1077,0.1176,0.1719,0.1029,0.2258,0.2241
3911,0.2708,0.2115,0.2105,0.2319,0.0685,0.1324,0.2206,0.125,0.1081
3912,0.1818,0.1081,0.1507,0.1216,0.119,0.0549,0.1531,0.1413,0.051
3913,0.0641,0.0532,0.0673,0.0828,0.0622,0.056,0.0602,0.0621,0.0881
3914,0.4138,0.4667,0.7097,0.4545,0.3333,0.3235,0.3514,0.2821,0.4444
3915,0.1471,0.2778,0.2895,0.2143,0.2273,0.1304,0.2,0.18,0.1633
3916,0.4444,0.4667,0.4107,0.375,0.4348,0.2745,0.2593,0.2679,0.4615
3917,0.2292,0.42,0.4286,0.28,0.2449,0.1087,0.3095,0.2326,0.3261
3918,0.3415,0.5714,0.3182,0.4146,0.4634,0.4667,0.2444,0.7073,0.5
3919,0.6136,0.4043,0.6038,0.4262,0.4677,0.371,0.4,0.3582,0.2375
3920,0.4773,0.5,0.6304,0.6327,0.4545,0.4,0.6071,0.6724,0.55
4001,0.1429,0.2697,0.1939,0.3958,0.17,0.19,0.215,0.1624,0.1525
4002,0.243,0.1913,0.1491,0.181,0.1579,0.1478,0.1786,0.1282,0.1754
4003,0.2182,0.1795,0.1667,0.1441,0.2239,0.1508,0.136,0.2097,0.1029
4004,0.1495,0.1329,0.0943,0.1046,0.1353,0.1066,0.1294,0.0819,0.1261
4005,0.2759,0.4688,0.3636,0.4074,0.2941,0.375,0.3636,0.4706,0.5152
4006,0.3649,0.4179,0.2933,0.3425,0.3288,0.3836,0.3472,0.3478,0.2462
4007,0.75,0.4571,0.359,0.5,0.5897,0.75,0.6136,0.5882,0.38
4008,0.4068,0.2857,0.3103,0.2542,0.2419,0.2615,0.2769,0.129,0.2923
4009,0.375,0.2917,0.2963,0.2857,0.3929,0.3929,0.3,0.2812,0.9
4010,0.2424,0.4722,0.4118,0.2941,0.2857,0.3684,0.4054,0.3684,0.2105
4011,0.1858,0.1583,0.1185,0.1926,0.169,0.1477,0.1242,0.1083,0.0793
4012,0.1133,0.1349,0.0905,0.1462,0.0698,0.1176,0.0913,0.1149,0.1509
4013,0.0881,0.0938,0.0848,0.1082,0.0848,0.1295,0.1198,0.1442,0.1398
4014,0.2637,0.1685,0.2581,0.24,0.1132,0.1909,0.1607,0.1508,0.1473
4015,0.2727,0.254,0.1897,0.2581,0.1864,0.2459,0.2281,0.1385,0.137
4016,0.0481,0.0132,0.0252,0.0095,0.0134,0.0076,0.0095,0.0078,0.0155
4301,0.0188,0.0192,0.0188,0.0264,0.02,0.016,0.0187,0.02,0.0227
4302,0.0104,0.0089,0.0097,0.023,0.0128,0.0185,0.0106,0.0088,0.014
4303,0.1151,0.0533,0.0816,0.0617,0.1043,0.1015,0.1133,0.0751,0.1101
4304,0.0346,0.0411,0.0364,0.0486,0.0253,0.0368,0.0408,0.0336,0.0395
4305,0.1598,0.0787,0.1061,0.1602,0.1389,0.1788,0.0938,0.0938,0.155
4306,0.0351,0.0323,0.0224,0.0285,0.029,0.0331,0.0415,0.0319,0.0254
4307,0.1094,0.0694,0.0972,0.0641,0.125,0.1167,0.0345,0.1077,0.0968
4308,0.2051,0.1149,0.2317,0.1348,0.1939,0.1442,0.161,0.119,0.0985
4309,0.1935,0.2581,0.1507,0.1429,0.2,0.2105,0.1649,0.1284,0.1356
