,region,Diabetes_100,Diabetes_101,Diabetes_102,Diabetes_103,Diabetes_104,Diabetes_105,Diabetes_106,Diabetes_107,Diabetes_108
80,703,0.7693741322797227,0.7565316649961584,0.7324049804653768,0.7409580087274958,0.653237883179231,0.6866319404518013,0.6779389627167404,0.6587225963303422,0.7007218500185844
81,704,0.7533035563313859,0.741709726606539,0.7686033789045218,0.7497199329780665,0.5990186777574923,0.5950773637648272,0.5803053111474242,0.587202008885304,0.5985630850438318
82,705,0.5811261395777388,0.5707943681690889,0.5983344971150013,0.5746512908545629,0.7597911477192915,0.7660455567290367,0.724959549296157,0.742667878581653,0.714044653755889
83,706,0.5846061841483222,0.5840787195376254,0.5622669408712802,0.5363884718579759,0.24510037549515487,0.2603051275576591,0.279455831689012,0.2365179520168612,0.279455831689012
84,707,0.5897312666232049,0.6062471638924657,0.6370223760548877,0.622203372028601,0.7629032169890397,0.7973347868120648,0.777477233029237,0.7380036420356011,0.8017973533774734
85,708,0.5568423081681421,0.5874578732237072,0.5728898932058569,0.5099940349001274,0.4974615002314332,0.49156126424510344,0.4860028558798977,0.455215398827836,0.49156126424510344
86,709,0.673019242329662,0.6993343169999883,0.6405156123899229,0.6493588290437563,0.5372424654796595,0.558911663378024,0.5635777328813579,0.5760954696133137,0.5532938806560853
87,710,0.6248621757911198,0.6583496822863547,0.6813509122572501,0.6859753050928311,0.4416250141793108,0.4416250141793108,0.4571494930927401,0.455215398827836,0.4590463909219646
88,711,0.7349007492874139,0.7489773775477767,0.7264068606761459,0.7324049804653768,0.6771187031276555,0.711170870086969,0.7252759937355095,0.6564636659891776,0.7005596202992097
89,712,0.638404065300476,0.7194185947468428,0.6802599085564235,0.6750377051143878,0.723811868831127,0.7519146361897084,0.7367179225646925,0.7307452068543999,0.761118104689456
90,713,0.7848958649879847,0.833300750913145,0.8552979778676164,0.8836821398605538,0.4502074376576045,0.49809581526087576,0.49872607713146977,0.4929032665404461,0.4762438500948004
91,714,0.768113465742651,0.7285082008027253,0.7476768887157651,0.7596128636271118,0.4070825709206496,0.42585823411672213,0.43585520297778035,0.4245342458196296,0.37764052182637575
92,715,0.747273264021001,0.7579482772826869,0.7527790242184859,0.7188132598606928,0.7524917357227346,0.7649105932272537,0.7265940843587001,0.7442444009093585,0.7393276303326937
93,716,0.6603224609902857,0.6308007663875708,0.5899806615655381,0.5904775676398629,0.38781816574253397,0.36135777381924267,0.36866746161118097,0.34488028607038307,0.36866746161118097
94,717,0.8269279069632431,0.8380658875122542,0.796079045108916,0.7944630500305645,0.44493154660256334,0.4117433897973209,0.41324930679119964,0.4161938731306451,0.4117433897973209
95,718,0.7097019576506972,0.7497199329780665,0.7277100243880994,0.7012875619585055,0.4874220983100757,0.4571494930927401,0.43098331659160466,0.34488028607038307,0.4874220983100757
96,719,0.7208828485175058,0.700315774322991,0.6276213947904431,0.7702991624577865,0.4070825709206496,0.40384832552675504,0.3897334812073538,0.37764052182637575,0.44493154660256334
97,720,0.7109519229445825,0.6997444450218345,0.7325811680331719,0.6813509122572501,0.6379456493840349,0.6213009352930947,0.6353069302575343,0.5869454790992377,0.6041121098151434
